char,readings
実力,じつりょく
服,ふく
泳ぐ,およぐ
物,もの
本物,ほんもの
名物,めいぶつ
苦い,にがい
苦しい,くるしい
乗る,のる
乗せる,のせる
乗り物,のりもの
お客さん,おきゃくさん
客室,きゃくしつ
屋,や
部屋,へや
肉屋,にくや
茶屋,ちゃや
魚屋,さかなや
名古屋,なごや
今度,こんど
丁度,ちょうど
毎度,まいど
角度,かくど
度,ど
待つ,まつ
持つ,もつ
金持ち,かねもち
気持ち,きもち
世界,せかい
発売,はつばい
発音,はつおん
発見,はっけん
相談,そうだん
相手,あいて
県,けん
美しい,うつくしい
美人,びじん
負ける,まける
勝負,しょうぶ
勝つ,かつ
勝者,しょうしゃ
必勝,ひっしょう
楽勝,らくしょう
送る,おくる
放送する,ほうそうする
重い,おもい
重要,じゅうよう
体重,たいじゅう
二重,にじゅう
必要,ひつよう
要点,ようてん
仮に,かりに
仮名,かな
仮定,かてい
起きる,おきる
早速,さっそく
速度,そくど
配る,くばる
お酒,おさけ
日本酒,にほんしゅ;にっぽんしゅ
病院,びょういん
学院,がくいん
終わる,おわる
終点,しゅうてん
終了,しゅうりょう
最終,さいしゅう
習う,ならう
転がる,ころがる
自転車,じてんしゃ
運転する,うんてんする
転送,てんそう
回転,かいてん
進む,すすむ
進化,しんか
進行,しんこう
落ちる,おちる
青葉,あおば
軽い,かるい
運ぶ,はこぶ
運がいい,うんがいい
開ける,あける
公開,こうかい
開業,かいぎょう
開発,かいはつ
集める,あつめる
集中,しゅうちゅう
集金,しゅうきん
飲む,のむ
工業,こうぎょう
漢字,かんじ
道路,どうろ
線路,せんろ
路地,ろじ
農民,のうみん
農業,のうぎょう
地下鉄,ちかてつ
鉄人,てつじん
電鉄,でんてつ
歌,うた
歌手,かしゅ
算数,さんすう
算定する,さんていする
聞く,きく
新聞,しんぶん
日本語,にほんご
フランス語,ふらんすご;フランスご
スペイン語,すぺいんご;スペインご
物語,ものがたり
主語,しゅご
読む,よむ
読み方,よみかた
鳴く,なく
線,せん
横,よこ
調子,ちょうし
強調,きょうちょう
調べる,しらべる
親,おや
親しい,したしい
親切,しんせつ
親友,しんゆう
頭,あたま
顔,かお
顔付き,かおつき
病気,びょうき
病,びょう
病人,びょうにん
最も,もっとも
最高,さいこう
最後,さいご
最近,さいきん
四十二,よんじゅうに
争う,あらそう
戦争,せんそう
競争,きょうそう
仲間,なかま
仲,なか
仲直り,なかなおり
仲良し,なかよし
伝える,つたえる
共通点,きょうつうてん
共同,きょうどう
公共,こうきょう
共有,きょうゆう
好き,すき
友好,ゆうこう
成る,なる
成功,せいこう
老人,ろうじん
位,い
一位,いちい
首位,しゅい
低い,ひくい
最低,さいてい
初回,しょかい
最初,さいしょ
別の,べつの
別に,べつに
別人,べつじん
別々,べつべつ
特別,とくべつ
利く,きく
便利,べんり
努力,どりょく
労働,ろうどう
苦労,くろう
労働者,ろうどうしゃ
命,いのち
運命,うんめい
命令,めいれい
海岸,かいがん
放す,はなす
開放する,かいほうする
昔,むかし
電波,でんぱ
注ぐ,そそぐ;つぐ
注意,ちゅうい
注文,ちゅうもん
